id,customer_id,product_id,shipper_id,quantity,discount,order_date,order_time,rating_review
1171,9,91,16,2,30,2024-01-24,18:24:44,
1172,27,331,29,1,16,2024-02-26,18:52:39,
1173,38,374,14,1,25,2024-02-06,05:30:24,5
1174,36,207,10,1,28,2024-02-26,16:14:03,
1175,22,75,12,3,2,2024-02-13,05:56:26,
1176,18,202,23,1,5,2024-01-31,07:12:07,5
1177,2,207,47,2,6,2024-01-09,13:25:17,1
1178,38,229,15,3,19,2024-01-16,18:34:01,
1179,8,277,42,3,8,2024-01-29,16:13:48,1
1180,22,492,12,1,21,2024-02-11,17:16:29,
1181,12,170,6,1,6,2024-01-02,15:26:55,2
1182,41,377,47,1,4,2024-02-04,15:20:02,2
1183,15,6,34,3,23,2024-02-08,23:23:13,2
1184,15,186,10,1,0,2024-02-13,09:11:26,
1185,15,409,37,3,5,2024-02-05,16:59:55,2
1186,3,385,26,3,12,2024-02-17,02:42:08,1
1187,18,397,39,2,4,2024-02-05,05:06:07,1
1188,48,239,24,1,18,2024-02-27,11:39:04,3
1189,14,320,29,1,16,2024-02-06,03:09:14,1
1190,15,375,36,3,7,2024-02-08,23:11:47,2
1,18,41,3,2,18,2024-01-27,16:54:50,4
2,15,464,26,3,7,2024-02-28,10:11:32,5
3,27,322,21,2,15,2024-02-19,07:14:23,3
4,7,440,49,1,3,2024-02-26,22:36:33,
5,22,442,3,1,8,2024-01-30,04:54:15,3
6,5,54,29,1,27,2024-02-08,21:03:06,2
7,9,370,35,3,28,2024-02-24,13:47:33,2
8,38,185,26,1,27,2024-02-08,21:24:33,1
9,22,224,5,1,1,2024-01-23,18:08:58,5
10,9,487,17,1,1,2024-01-16,21:36:12,1
